DateTime,Buyopen,Buyhigh,Buylow,Buyclose
2016-12-27 17:30:00,1.04578,1.04583,1.04575,1.04576
2016-12-27 17:35:00,1.04569,1.04601,1.04569,1.04597
2016-12-27 17:40:00,1.04594,1.04601,1.04569,1.04588
2016-12-27 17:45:00,1.04586,1.04605,1.04572,1.04576
2016-12-27 17:50:00,1.04575,1.04576,1.04571,1.04575
2016-12-27 17:55:00,1.04574,1.04585,1.04574,1.04583
2016-12-27 18:00:00,1.04583,1.04598,1.04582,1.04594
2016-12-27 18:05:00,1.04594,1.04599,1.0459,1.04595
2016-12-27 18:10:00,1.04595,1.04596,1.04569,1.04573
2016-12-27 18:15:00,1.04574,1.04592,1.04574,1.04576
2016-12-27 18:20:00,1.04576,1.04606,1.04576,1.04604
2016-12-27 18:25:00,1.04606,1.04611,1.04573,1.04576
2016-12-27 18:30:00,1.04576,1.04593,1.04567,1.04575
2016-12-27 18:35:00,1.04576,1.04578,1.04569,1.04571
2016-12-27 18:40:00,1.04571,1.04582,1.0457,1.04574
2016-12-27 18:45:00,1.04573,1.04591,1.04573,1.04584
2016-12-27 18:50:00,1.04586,1.04592,1.04586,1.0459
2016-12-27 18:55:00,1.04596,1.04613,1.04596,1.04612
2016-12-27 19:00:00,1.04611,1.04611,1.04594,1.04607
2016-12-27 19:05:00,1.04608,1.04638,1.04608,1.04635
2016-12-27 19:10:00,1.04636,1.04636,1.04614,1.0462
2016-12-27 19:15:00,1.04621,1.04625,1.04611,1.04614
2016-12-27 19:20:00,1.04615,1.04621,1.04611,1.04614
2016-12-27 19:25:00,1.04614,1.04633,1.04611,1.04626
2016-12-27 19:30:00,1.04626,1.04645,1.04624,1.04643
2016-12-27 19:35:00,1.04643,1.04645,1.04624,1.04626
2016-12-27 19:40:00,1.04625,1.04638,1.04623,1.04634
2016-12-27 19:45:00,1.04633,1.04644,1.04631,1.04642
2016-12-27 19:50:00,1.04642,1.04644,1.04579,1.0461
2016-12-27 19:55:00,1.04615,1.0467,1.04615,1.0464
2016-12-27 20:00:00,1.0464,1.0464,1.04626,1.04635
2016-12-27 20:05:00,1.04636,1.04686,1.04625,1.04678
2016-12-27 20:10:00,1.04679,1.04696,1.04678,1.04693
2016-12-27 20:15:00,1.04692,1.04709,1.04671,1.04693
2016-12-27 20:20:00,1.04694,1.04731,1.04686,1.04705
2016-12-27 20:25:00,1.04704,1.04729,1.04692,1.04722
2016-12-27 20:30:00,1.04721,1.04721,1.04684,1.04694
2016-12-27 20:35:00,1.04693,1.04702,1.04678,1.0469
2016-12-27 20:40:00,1.04692,1.04719,1.04692,1.04702
2016-12-27 20:45:00,1.04704,1.04721,1.04702,1.04721
2016-12-27 20:50:00,1.04721,1.04748,1.04709,1.04709
2016-12-27 20:55:00,1.04709,1.04711,1.04692,1.04692
2016-12-27 21:00:00,1.04692,1.04705,1.04673,1.04704
2016-12-27 21:05:00,1.04707,1.04716,1.04704,1.0471
2016-12-27 21:10:00,1.04709,1.0471,1.04694,1.04697
2016-12-27 21:15:00,1.04697,1.04702,1.04661,1.04694
2016-12-27 21:20:00,1.04695,1.04709,1.04684,1.04696
2016-12-27 21:25:00,1.04695,1.047,1.04689,1.04694
2016-12-27 21:30:00,1.04692,1.04705,1.04678,1.047
2016-12-27 21:35:00,1.04701,1.04704,1.04693,1.04703
2016-12-27 21:40:00,1.04703,1.04703,1.04685,1.04698
2016-12-27 21:45:00,1.04697,1.04698,1.04668,1.04693
2016-12-27 21:50:00,1.04698,1.04698,1.04655,1.04658
2016-12-27 21:55:00,1.04657,1.0467,1.04645,1.04646
2016-12-27 22:00:00,1.04644,1.04679,1.04644,1.04676
2016-12-27 22:05:00,1.04675,1.04695,1.04666,1.04686
2016-12-27 22:10:00,1.04686,1.04686,1.04676,1.04685
2016-12-27 22:15:00,1.04687,1.04692,1.04674,1.0468
2016-12-27 22:20:00,1.04678,1.04684,1.04678,1.04682
2016-12-27 22:25:00,1.04675,1.04675,1.0466,1.04671
2016-12-27 22:30:00,1.04672,1.04673,1.04648,1.04658
2016-12-27 22:35:00,1.04658,1.04659,1.04648,1.04654
2016-12-27 22:40:00,1.04657,1.04695,1.04656,1.04695
2016-12-27 22:45:00,1.04693,1.04696,1.04666,1.04696
2016-12-27 22:50:00,1.04696,1.04697,1.04684,1.04689
2016-12-27 22:55:00,1.04687,1.04697,1.04679,1.04694
2016-12-27 23:00:00,1.04693,1.04696,1.04688,1.04689
2016-12-27 23:05:00,1.04689,1.047,1.04688,1.04696
2016-12-27 23:10:00,1.04696,1.04711,1.04689,1.04706
2016-12-27 23:15:00,1.04707,1.04727,1.04704,1.04718
2016-12-27 23:20:00,1.04719,1.04723,1.04708,1.04722
2016-12-27 23:25:00,1.04721,1.04725,1.04709,1.04711
2016-12-27 23:30:00,1.04712,1.04716,1.04698,1.047
2016-12-27 23:35:00,1.04699,1.04704,1.04693,1.04699
2016-12-27 23:40:00,1.04698,1.04702,1.04691,1.04694
2016-12-27 23:45:00,1.04696,1.04699,1.04694,1.04698
2016-12-27 23:50:00,1.04697,1.04697,1.0469,1.04691
2016-12-27 23:55:00,1.04691,1.04704,1.0468,1.047
2016-12-28 00:00:00,1.04703,1.0471,1.04693,1.04696
2016-12-28 00:05:00,1.04695,1.04696,1.04691,1.04695
2016-12-28 00:10:00,1.04694,1.04701,1.04694,1.04696
2016-12-28 00:15:00,1.04695,1.04728,1.04695,1.04721
2016-12-28 00:20:00,1.04722,1.04745,1.04718,1.04729
2016-12-28 00:25:00,1.04727,1.04739,1.04721,1.04739
2016-12-28 00:30:00,1.04738,1.04789,1.04733,1.04753
2016-12-28 00:35:00,1.04754,1.04783,1.04754,1.04778
2016-12-28 00:40:00,1.04778,1.04778,1.04757,1.04762
2016-12-28 00:45:00,1.04761,1.04772,1.04746,1.04771
2016-12-28 00:50:00,1.0477,1.04797,1.0477,1.04791
2016-12-28 00:55:00,1.04791,1.04791,1.04768,1.04779
2016-12-28 01:00:00,1.04779,1.04792,1.04756,1.04784
2016-12-28 01:05:00,1.04784,1.04784,1.04747,1.04764
2016-12-28 01:10:00,1.04769,1.04784,1.04754,1.04764
2016-12-28 01:15:00,1.04765,1.04765,1.04745,1.04745
2016-12-28 01:20:00,1.04744,1.04756,1.04737,1.04751
2016-12-28 01:25:00,1.04751,1.04767,1.04743,1.04748
2016-12-28 01:30:00,1.04747,1.04773,1.04742,1.04753
2016-12-28 01:35:00,1.04755,1.04759,1.04742,1.04742
2016-12-28 01:40:00,1.04741,1.04754,1.04722,1.04748
2016-12-28 01:45:00,1.04747,1.04747,1.04726,1.04744
2016-12-28 01:50:00,1.04743,1.04743,1.0473,1.0473
2016-12-28 01:55:00,1.0473,1.04731,1.04713,1.04714
2016-12-28 02:00:00,1.04716,1.04716,1.04675,1.04688
2016-12-28 02:05:00,1.04686,1.0469,1.04658,1.04663
2016-12-28 02:10:00,1.04664,1.04668,1.04653,1.04655
2016-12-28 02:15:00,1.04654,1.04693,1.04654,1.0467
